Fiscal Year,Unique Identifier,Deal Number,Decision,Decision Date,Effective Date,Expiration Date,Brokered,Deal Cancelled,Country,Program,Policy Type,Decision Authority,Primary Export Product NAICS/SIC code,Product Description,Term,Primary Applicant,Primary Lender,Primary Exporter,Primary Exporter City,Primary Exporter State Code,Primary Exporter State Name,Primary Borrower,Primary Source of Repayment (PSOR),Working Capital Delegated Authority,Approved/Declined Amount,Disbursed/Shipped Amount,Undisbursed Exposure Amount,Outstanding Exposure Amount,Small Business Authorized Amount,Woman Owned Authorized Amount,Minority Owned Authorized Amount,Loan Interest Rate,Multiyear Working Capital Extension
2007,08003048XA0002,AP003048AA,Approved,11/29/2006,,12/15/2011,No,No,Private Export Funding Corp.,Guarantee,,Board,,,Long Term,Private Export Funding Corporation,Private Export Funding Corporation,,,,,Private Export Funding Corporation,Various Us Companies,,24500000,24500000,0,0,0,0,0,,
2007,08003048XA0003,AP003048AA,Approved,11/29/2006,11/29/2006,12/15/2016,No,No,Private Export Funding Corp.,Guarantee,,Board,,,Long Term,Private Export Funding Corporation,Private Export Funding Corporation,,,,,Private Export Funding Corporation,Various Us Companies,,50000000,50000000,0,0,0,0,0,,
2007,08003048XA0004,AP003048AA,Approved,8/16/2007,8/16/2007,9/15/2017,No,No,Private Export Funding Corp.,Guarantee,,Board,,,Long Term,Private Export Funding Corporation,Private Export Funding Corporation,,,,,Private Export Funding Corporation,Various Us Companies,,136250000,136250000,0,0,0,0,0,,
2007,08064737XM0001,AP064737XM,Approved,9/21/2007,9/21/2007,7/31/2008,No,No,United States,Working Capital,,Individual Delegated Authority,5088,Transportation Equipment and Supplies - Except Moto,Short Term,Bank Of America N.A.,Bank Of America N.A.,American General Supplies,Gaithersburg,MD,Maryland,American General Supplies,American General Supplies,Yes,2700000,2700000,0,0,2700000,0,2700000,,
2007,08069888XG0003,AP069888XG,Approved,11/24/2006,11/24/2006,1/1/2007,No,No,United States,Working Capital,,Individual Delegated Authority,3546,Power-Driven Handtools,Short Term,Ups Capital Business Credit,Ups Capital Business Credit,Kell-Strom Tool Co Inc,Wethersfield,CT,Connecticut,Kell-Strom Tool Co Inc,Kell-Strom Tool Co Inc,Yes,233307.9,233307.9,0,0,0,0,0,,
2007,08069888XG0004,AP069888XG,Approved,3/9/2007,3/9/2007,4/30/2007,No,No,United States,Working Capital,,Individual Delegated Authority,3546,Power-Driven Handtools,Short Term,Ups Capital Business Credit,Ups Capital Business Credit,Kell-Strom Tool Co Inc,Wethersfield,CT,Connecticut,Kell-Strom Tool Co Inc,Kell-Strom Tool Co Inc,Yes,233307.9,233307.9,0,0,233307.9,233307.9,0,,
2007,08070062XH0002,AP070062XH,Approved,10/1/2006,10/1/2006,1/31/2007,No,No,United States,Working Capital,,Individual Delegated Authority,3531,Construction Machinery and Equipment,Short Term,Ups Capital Business Credit,Ups Capital Business Credit,Numa Tool Co,Thompson,CT,Connecticut,Numa Tool Co,Numa Tool Co,Yes,1080000,1080000,0,0,0,0,0,,
2007,08070062XI0001,AP070062XI,Approved,2/12/2007,2/12/2007,1/31/2008,No,No,United States,Working Capital,,Individual Delegated Authority,3531,Construction Machinery and Equipment,Short Term,Ups Capital Business Credit,Ups Capital Business Credit,Numa Tool Co,Thompson,CT,Connecticut,Numa Tool Co,Numa Tool Co,Yes,1080000,1080000,0,0,1080000,0,1080000,,
2007,08071060XJ0001,AP071060XJ,Approved,4/13/2007,4/13/2007,4/1/2008,No,No,United States,Working Capital,,Individual Delegated Authority,424910,Farm Supplies Merchant Wholesalers,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Bank N.A.,Calaway Trading Inc,Ellensburg,WA,Washington,Calaway Trading Inc,Calaway Trading Inc,Yes,5400000,5400000,0,0,5400000,0,0,,
2007,08072367XI0001,AP072367XI,Approved,1/29/2007,1/29/2007,11/30/2007,No,No,United States,Working Capital,,Individual Delegated Authority,321999,All Other Miscellaneous Wood Product Manufacturing,Short Term,Manufacturers And Traders Trust Company,Manufacturers And Traders Trust Company,"Global Hardwoods, Inc",Oakland,MD,Maryland,"Global Hardwoods, Inc","Global Hardwoods, Inc",Yes,630000,630000,0,0,630000,0,0,,
2007,08073082XJ0001,AP073082XJ,Approved,4/16/2007,4/16/2007,1/31/2008,No,No,United States,Working Capital,,Individual Delegated Authority,3563,Air and Gas Compressors,Short Term,Peoples Bank,Peoples Bank,"Norwalk Compressor Company, Inc.",Norwalk,CT,Connecticut,"Norwalk Compressor Company, Inc.","Norwalk Compressor Company, Inc.",Yes,675000,675000,0,0,675000,0,0,,
2007,08074512XF0003,AP074512XF,Approved,1/26/2007,1/26/2007,7/15/2007,No,No,United States,Working Capital,,Individual Delegated Authority,3533,Oil and Gas Field Machinery and Equipment,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Bank Na,Duhn Oil Tool Inc,Bakersfield,CA,California,Duhn Oil Tool Inc,Duhn Oil Tool Inc,Yes,1800000,1800000,0,0,1800000,0,0,,
